Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Finland,2674.8,2548.8,2599.1,3300,3499.4,3600.1,3665.1,3453.1,3722.5,3907.8,3821.3,3882.5,3930.1,3954.9,3751.8,3835.9,3851,3785,3895,3935.5,4101.8,3752.4,5089.5
France,48554.4,48404.7,49399.2,50889.3,52278.6,51207.1,51443,51423.6,51049.9,54826.9,52227.9,50674.7,49896.3,49573,50435.8,51815.5,53824.5,54532.6,53187.3,54066,55623.2,56647,56999.7
Germany,46431.4,45668.2,45792.4,45166.6,43783,36489.5,42138.7,42203.2,43201,44837.1,44946.2,44035,45293.3,43618.9,43670.6,44420.5,46348.1,47677.5,48993.2,53742.5,57056.1,56513.1,57807.7
Greece,8170.2,7990.3,7838,6714.9,7382.7,7983.2,8300.4,8293.8,9220,9666.8,7428.6,5981,5289.9,4939.7,4899.5,5195.8,5412.3,5408,5780.5,5683.9,6063,8299.9,8347.5
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,1237.3,1342.5,1289.3,1236,1254.9,1271.1,1260.5,1269.7,1315,1298.3,1237.1,1172.8,1110.7,1104.7,1100.7,1103.9,1112.1,1118,1142.3,1199.1,1215.3,1267.7,1207.7
Italy,35579,34994.7,35951.2,36243.6,36362.3,34983.6,33850.2,32884.3,34245.8,33123.3,32177.5,31511.2,29127.8,28012.3,25859.7,24761.9,28051.2,28857.2,29145.6,28348.7,34803.7,36249.3,34627.5
Luxembourg,220.7,276.8,247,261.3,274.5,277.7,271.9,282,210.8,208.6,263.1,227.2,221.3,229.3,245.9,289.9,273.6,363.7,374.4,416.8,452.3,403.3,585.7
Malta,45,48,47.4,48.9,51.6,65.2,52.9,53,54.3,59.2,60.8,53.5,50.5,52.1,54.6,59.2,67.9,71.1,69.6,86.6,90.9,88,92.4
Netherlands,11273.7,11570.7,11558.1,11725.1,11810.2,11831,12389.6,12556.6,12339.6,12605.9,12075.2,11669.4,10965.4,10213.5,10227.7,10202.9,10725.9,10960.3,11884.8,13181,13939.5,13941.6,15670.8
Norway,4605.8,4636.1,5571.2,5356.3,5492.1,5167.2,5157.2,5486.7,5517.4,5853.8,5762.3,5871,5977.9,6116.8,6381.8,6335.4,6575.2,7256.8,7645.4,8089.3,8195.6,8435.1,8960.3
Portugal,3047.6,3170.9,3257.4,3164.7,3385.3,3647.7,3519.6,3304.1,3377.9,3614.6,3540.7,3357.2,2942,3046.8,2814.1,2950.1,3535,2941.3,3304,3528.8,3433.4,3896.6,3647.6
Spain,19804.5,19584.7,18153.8,18424.4,19258.6,19498.4,20136.9,20884.9,20770,19938.9,20068.3,18513.1,18722.9,16334.2,16310.2,17337,16076,17791.3,18478.9,18658.1,18644.7,19544.5,20979.2
Sweden,6733,6388.6,6218.7,6173.4,5809.8,5885.4,5793.7,5945.6,5288.2,5186.2,5612.6,5277.3,5387.6,5419,5741.2,5802.9,5879.5,5879.2,6073.3,6610.1,6879.1,7582.6,8491.5
Switzerland,5605.4,5474.2,5239.8,5103.4,5008.7,4930.3,4693.1,4722.6,4837.4,4832.3,4667.6,4792.5,4704.6,5108,4627.9,4819.9,5013.4,5043.2,5079,5453.4,6602.6,6214,6241.2
United Kingdom,54375,56528.5,59889.1,64153.2,64949.3,65556.5,65857.2,67650.2,70611.9,71743.3,70537.4,68152.7,66260.3,63837.8,62696.4,60286.3,60076.1,60185.9,60638.9,63157.8,64161.1,67500.7,69998.7
Bahrain,496.2,520.9,624.4,714,719.2,676.5,741.9,804,870.2,973.8,971.9,1196.6,1332,1469.9,1567.6,1504.6,1528.1,1534.4,1498.1,1512.4,1396.3,1381.4,1334.6
Egypt,4112.4,4963,5603.4,5725.6,5417,5406.4,5531.9,5571.1,5188.3,5035.7,5034.4,4889,4757.1,4715.8,5147.8,5457.5,5141.6,4338.5,4262.8,4425.4,4775.9,5165.4,5236.5
Iran,2525.2,2811.1,3025.8,3531.6,4563.7,5426.8,6498,5975.3,5748.6,6014.7,6120.2,5282.2,5499.4,4428.7,4415.7,4695.1,5390.1,6064.6,5130.7,4213.1,4246.7,5392,5639.7
Iraq,...,...,...,...,1837,2479.6,1779.9,2724.1,3600.9,3432.3,3867.8,4167.8,3789.8,6987.9,6082.6,8331.1,5214.8,6477.1,5502.4,6669,4954.2,4771,4434.3
Israel,14216.2,14811.9,14817.7,14573.7,15060.5,15432.8,15667,17567.1,17790.4,17429.5,17552.1,17665.4,18006.9,18570.1,19990.9,20278,21351.3,22265.2,22535.7,22671.4,23611,24341,23308.2
Jordan,1004.1,985.8,955.2,1101.9,1022.3,1016.3,1111.6,1561.8,1804.7,2100.1,1989.7,1955.5,1727.9,1617.1,1684.6,1772,1956.8,2076.1,2005.9,2066.3,2083.6,2176.8,2238.3
Kuwait,5253.6,5163.2,5328,5741.9,6180.1,5981,5912.6,6280.3,5782.4,5621.6,5518.5,6305.9,6824.1,6456.6,6443.9,6490.4,7097.6,7320.3,7682.5,7863.8,7321.8,9024.3,8042.6
Lebanon,9508.6,9836.3,9151.1,9195.1,9349.3,9495.4,9428.4,10347.5,9482.2,11427.2,12216.1,11939.5,12102.2,12718.5,14643.7,15008.7,17612.2,16003.4,17155.1,15116.3,6211.8,1914.5,1639.8
Oman,2410,2803.7,2886.5,3035.3,3416.8,4116.8,4387.6,4450.3,4226.2,3972.4,4194.3,5491,9866.8,9253.5,8582.2,7866.6,8195.9,6915,7623.1,6592.2,6190,5783.6,5608.8
Qatar,...,...,1413.7,1425.3,1313.7,1387.3,1489.6,1919.4,2474.9,2187,2159,...,...,...,...,...,...,...,...,...,...,11593.4,14752
Saudi Arabia,32860.6,35001.7,30722.9,30941.3,34334,41461.5,47230.6,54403.8,53395.8,54873.5,57112.7,57888.4,65513.7,75063.3,88476.4,94375.2,67526.2,75291.7,77882.1,69685.9,66536,63194.7,73041.5
Syria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
T?rkiye,10801.8,9902.2,10535.9,9798,9105.3,8775.9,9186.4,8857.7,8985.2,9614.3,9444.2,9525.2,9759,10022.3,10095.4,10388.2,12179.5,13072.5,16592.6,17638.4,16603.2,15567.4,11515.6
United Arab Emirates,11628.2,11161.6,10014.9,10583.7,11771.9,10739.3,10661.9,11329,13800.6,16247.8,20376.5,22134.6,21808.2,26714.9,25209.6,...,...,...,...,...,...,...,...
"Yemen, North",xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Yemen,4785.8,5085.9,6441.4,6646.6,5420.7,5572.2,5213.7,6233.6,5991.4,6854.1,6802.6,6168.3,5650.8,5199.4,5002.4,...,...,...,...,...,...,...,...
